ReviewID,CustomerID,ProductID,ProductName,ReviewDate,Rating,ReviewText,BERT_SentimentScore,SentimentBucket,IssueType,IssueConfidence,BusinessOutput
17,88,4,Dumbbells,2025-10-29,3,"Build quality is okay, however durability could definitely be better.",0.9826349020004272,Mixed Positive,,0.507,Improvement suggestions
18,17,16,Kayak,2024-11-23,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.9998056292533876,Positive,,0.2728,Customer satisfied.
19,34,13,Swim Goggles,2024-01-04,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
20,34,6,Tennis Racket,2023-04-29,1,I  had  a  bad  experience  with  this  product.,-0.9998112320899964,Negative,quality,0.2421,quality
21,22,15,Climbing Rope,2023-04-08,5,Amazing  value  for  the  price.,0.9998892545700072,Positive,,0.3689,Customer satisfied.
22,52,3,Yoga Mat,2025-10-30,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
23,69,18,Volleyball,2023-07-02,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
24,100,4,Dumbbells,2025-07-18,3,"I  love  this    product,  will  buy  again!",0.9998741149902344,Mixed Positive,,0.2354,Improvement suggestions
25,55,20,Boxing Gloves,2024-12-19,4,Packaging was adequate and delivery was timely.,0.9997827410697936,Positive,,0.3048,Customer satisfied.
26,76,11,Ski Boots,2024-08-21,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
27,56,6,Tennis Racket,2025-11-24,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
28,76,8,Football Helmet,2025-05-27,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
29,38,13,Swim Goggles,2023-05-31,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
30,84,6,Tennis Racket,2024-03-18,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
31,93,4,Dumbbells,2025-08-25,3,"Good  quality,  but  could  be    cheaper.",0.955940008163452,Mixed Positive,,0.3168,Improvement suggestions
32,91,1,Running Shoes,2023-07-15,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
33,30,2,Fitness Tracker,2023-02-21,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.9998056292533876,Positive,,0.2728,Customer satisfied.
34,81,15,Climbing Rope,2024-03-30,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
35,27,12,Ice Skates,2024-03-13,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
36,96,9,Baseball Glove,2025-12-05,3,"Average product, quality is fine but price feels slightly high.",0.9017502069473268,Mixed Positive,,0.336,Improvement suggestions
37,38,3,Yoga Mat,2023-09-11,3,"Average  experience,  nothing    special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
38,45,17,Surfboard,2024-05-07,5,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
39,54,1,Running Shoes,2023-10-02,5,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
40,33,2,Fitness Tracker,2025-01-03,5,The product arrived within the expected timeframe.,0.6194601058959961,Positive,,0.2405,Customer satisfied.
41,93,17,Surfboard,2025-05-15,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
42,72,15,Climbing Rope,2023-03-21,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
43,84,15,Climbing Rope,2025-02-02,4,Exceeded  my    expectations!,0.9995620846748352,Positive,,0.226,Customer satisfied.
44,44,17,Surfboard,2023-04-20,5,"Excellent  product,    highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
45,11,16,Kayak,2023-03-23,3,"Build quality is okay, however durability could definitely be better.",0.9826349020004272,Mixed Positive,,0.507,Improvement suggestions
46,27,5,Soccer Ball,2025-05-07,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
47,19,13,Swim Goggles,2024-06-01,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
48,70,17,Surfboard,2023-10-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,0.9998056292533876,Positive,,0.2728,Customer satisfied.
49,3,7,Basketball,2025-06-09,3,"Good  quality,  but  could    be  cheaper.",0.955940008163452,Mixed Positive,,0.3168,Improvement suggestions
50,62,4,Dumbbells,2023-01-07,1,The  product  stopped  working  after  a  month.,-0.999716579914093,Negative,quality,0.3017,quality
51,49,17,Surfboard,2023-04-14,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
52,75,11,Ski Boots,2024-04-07,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
53,73,18,Volleyball,2025-12-28,4,Five  stars  for    the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
54,33,8,Football Helmet,2023-05-03,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
55,57,9,Baseball Glove,2025-11-03,3,Customer  support  was    very  helpful.,0.9991816878318788,Mixed Positive,,0.3455,Improvement suggestions
56,15,10,Golf Clubs,2025-12-11,3,The product reached without any damage.,0.9913528561592102,Mixed Positive,,0.2376,Improvement suggestions
57,41,10,Golf Clubs,2024-04-06,2,Disappointed  with  the  performance.,-0.9997925162315368,Negative,support,0.248,support
58,78,7,Basketball,2024-07-16,2,"The  product    is  okay,  but  the  instructions  were  unclear.",-0.9967684745788574,Negative,quality,0.2548,quality
59,98,9,Baseball Glove,2024-09-01,4,The  build  quality  is  impressive.,0.999881386756897,Positive,,0.4293,Customer satisfied.
60,11,16,Kayak,2023-12-27,4,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
61,50,19,Hockey Stick,2023-02-24,4,"Great  purchase,    very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
62,35,17,Surfboard,2023-03-18,2,"Average  experience,  nothing  special.",-0.9992826581001282,Negative,support,0.2637,support
63,93,2,Fitness Tracker,2025-01-05,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
64,86,11,Ski Boots,2025-10-30,4,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
65,34,3,Yoga Mat,2024-06-15,1,"Build quality is okay, however durability could definitely be better.",0.9826349020004272,Mixed Negative,quality,0.507,quality
66,94,16,Kayak,2023-06-17,4,"I  love  this  product,  will  buy    again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
67,67,13,Swim Goggles,2025-04-12,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
68,38,7,Basketball,2023-03-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.9967684745788574,Mixed Negative,quality,0.2548,quality
69,77,12,Ice Skates,2025-08-03,3,Five  stars  for  the  quick  delivery.,0.9993364214897156,Mixed Positive,,0.2803,Improvement suggestions
70,93,5,Soccer Ball,2024-01-30,4,Shipping  was  fast    and  the  item  was  well-packaged.,0.9998056292533876,Positive,,0.2728,Customer satisfied.
71,24,11,Ski Boots,2025-07-28,3,Very durable and performs well for daily use.,0.9998507499694824,Mixed Positive,,0.4388,Improvement suggestions
72,29,4,Dumbbells,2023-05-29,5,The    build  quality  is  impressive.,0.999881386756897,Positive,,0.4293,Customer satisfied.
73,68,19,Hockey Stick,2025-05-05,5,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
74,59,9,Baseball Glove,2023-05-16,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.9967684745788574,Mixed Negative,quality,0.2548,quality
75,22,3,Yoga Mat,2024-01-13,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.9998056292533876,Positive,,0.2728,Customer satisfied.
76,9,10,Golf Clubs,2025-08-31,4,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
77,74,5,Soccer Ball,2023-03-15,4,"Great  purchase,    very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
78,6,10,Golf Clubs,2024-12-09,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
79,84,15,Climbing Rope,2024-05-28,2,The  product  arrived    late.,-0.998403251171112,Negative,delivery,0.2442,delivery
80,98,16,Kayak,2025-05-24,3,"Average product, works fine but feels slightly overpriced.",-0.9987505674362184,Mixed Negative,quality,0.4239,quality
81,3,19,Hockey Stick,2024-09-04,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
82,78,13,Swim Goggles,2023-05-02,4,Shipping    was  fast  and  the  item  was  well-packaged.,0.9998056292533876,Positive,,0.2728,Customer satisfied.
83,32,11,Ski Boots,2025-05-26,4,The  quality  is    top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
84,40,20,Boxing Gloves,2023-07-17,4,"Average product, quality is fine but price feels slightly high.",0.9017502069473268,Positive,,0.336,Customer satisfied.
85,17,6,Tennis Racket,2025-10-25,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
86,78,3,Yoga Mat,2025-10-06,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
87,89,17,Surfboard,2023-05-26,3,Not    worth  the  money.,-0.9998021721839904,Mixed Negative,pricing,0.2816,pricing
88,93,19,Hockey Stick,2025-08-26,4,Exceeded  my  expectations!,0.9995620846748352,Positive,,0.226,Customer satisfied.
89,60,3,Yoga Mat,2024-07-08,3,The  quality  is  top-notch.,0.9998470544815063,Mixed Positive,,0.3895,Improvement suggestions
90,47,17,Surfboard,2025-11-12,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
91,4,16,Kayak,2025-09-27,3,"Great  purchase,  very  satisfied.",0.9998626708984376,Mixed Positive,,0.2698,Improvement suggestions
92,2,16,Kayak,2023-11-21,3,"Average product, works fine but feels slightly overpriced.",-0.9987505674362184,Mixed Negative,quality,0.4239,quality
93,60,13,Swim Goggles,2024-09-05,3,"Build quality is okay, however durability could definitely be better.",0.9826349020004272,Mixed Positive,,0.507,Improvement suggestions
94,2,16,Kayak,2025-03-14,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
95,16,16,Kayak,2024-04-07,4,The product reached without any damage.,0.9913528561592102,Positive,,0.2376,Customer satisfied.
96,19,13,Swim Goggles,2023-09-02,3,"Average product, quality is fine but price feels slightly high.",0.9017502069473268,Mixed Positive,,0.336,Improvement suggestions
97,64,6,Tennis Racket,2024-01-19,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.9967684745788574,Mixed Negative,quality,0.2548,quality
98,96,3,Yoga Mat,2025-11-20,5,Exceeded  my  expectations!,0.9995620846748352,Positive,,0.226,Customer satisfied.
99,79,16,Kayak,2025-01-29,2,"Average  experience,  nothing  special.",-0.9992826581001282,Negative,support,0.2637,support
100,9,2,Fitness Tracker,2025-06-20,3,"Average product, works fine but feels slightly overpriced.",-0.9987505674362184,Mixed Negative,quality,0.4239,quality
101,61,18,Volleyball,2024-09-11,5,The  build  quality  is  impressive.,0.999881386756897,Positive,,0.4293,Customer satisfied.
102,4,2,Fitness Tracker,2025-08-22,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
103,82,14,Cycling Helmet,2024-11-17,5,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
104,96,5,Soccer Ball,2023-01-06,4,"I  love    this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
105,32,12,Ice Skates,2024-08-27,2,The  product    arrived  late.,-0.998403251171112,Negative,delivery,0.2442,delivery
106,94,17,Surfboard,2024-02-25,2,"Average  experience,  nothing  special.",-0.9992826581001282,Negative,support,0.2637,support
107,26,10,Golf Clubs,2025-02-17,5,Five  stars  for    the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
108,80,17,Surfboard,2023-12-22,5,Five  stars  for  the    quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
109,38,10,Golf Clubs,2023-07-25,4,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
110,54,12,Ice Skates,2024-08-02,4,Customer    support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
111,43,7,Basketball,2023-11-05,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
112,87,3,Yoga Mat,2023-05-26,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
113,27,9,Baseball Glove,2024-03-31,2,Disappointed  with  the  performance.,-0.9997925162315368,Negative,support,0.248,support
114,52,19,Hockey Stick,2025-05-04,2,"Average  experience,  nothing  special.",-0.9992826581001282,Negative,support,0.2637,support
115,82,9,Baseball Glove,2023-09-28,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
116,70,18,Volleyball,2023-07-23,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
117,20,14,Cycling Helmet,2025-04-19,4,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
118,59,6,Tennis Racket,2024-05-01,1,The  product  arrived  late.,-0.998403251171112,Negative,delivery,0.2442,delivery
119,34,5,Soccer Ball,2025-09-06,4,"Great  purchase,  very    satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
120,3,20,Boxing Gloves,2024-08-18,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
121,91,1,Running Shoes,2025-11-02,2,"Average quality, delivery was slightly delayed.",-0.998961329460144,Negative,support,0.2442,support
122,83,14,Cycling Helmet,2024-09-27,2,"It performs the basic function, but I expected better finishing and comfort.",-0.9803825616836548,Negative,quality,0.2989,quality
123,93,1,Running Shoes,2025-09-22,4,"Average product, quality is fine but price feels slightly high.",0.9017502069473268,Positive,,0.336,Customer satisfied.
124,36,16,Kayak,2023-07-17,5,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
125,55,11,Ski Boots,2025-12-20,5,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
126,32,10,Golf Clubs,2024-08-12,5,Exceeded  my  expectations!,0.9995620846748352,Positive,,0.226,Customer satisfied.
127,47,8,Football Helmet,2025-03-25,4,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
128,71,20,Boxing Gloves,2023-12-13,2,"Average  experience,  nothing  special.",-0.9992826581001282,Negative,support,0.2637,support
129,46,13,Swim Goggles,2025-02-14,4,"Average product, quality is fine but price feels slightly high.",0.9017502069473268,Positive,,0.336,Customer satisfied.
130,88,3,Yoga Mat,2025-09-22,5,"Great    purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
131,42,5,Soccer Ball,2023-06-16,5,Amazing  value  for  the  price.,0.9998892545700072,Positive,,0.3689,Customer satisfied.
132,21,7,Basketball,2025-11-13,2,Product  did  not  meet  my  expectations.,-0.9997606873512268,Negative,quality,0.2876,quality
133,40,4,Dumbbells,2025-05-24,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
134,74,4,Dumbbells,2024-03-27,3,"Good  quality,  but  could    be  cheaper.",0.955940008163452,Mixed Positive,,0.3168,Improvement suggestions
135,48,14,Cycling Helmet,2023-06-08,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
136,17,3,Yoga Mat,2025-03-27,5,Amazing  value  for    the  price.,0.9998892545700072,Positive,,0.3689,Customer satisfied.
137,88,6,Tennis Racket,2023-03-02,4,"Good  quality,  but  could    be  cheaper.",0.955940008163452,Positive,,0.3168,Customer satisfied.
138,28,15,Climbing Rope,2023-01-18,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
139,36,16,Kayak,2023-04-20,4,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
140,53,18,Volleyball,2023-12-03,3,Very durable and performs well for daily use.,0.9998507499694824,Mixed Positive,,0.4388,Improvement suggestions
141,98,9,Baseball Glove,2024-10-15,5,Amazing  value  for  the    price.,0.9998892545700072,Positive,,0.3689,Customer satisfied.
142,15,7,Basketball,2023-08-04,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
143,3,12,Ice Skates,2023-04-12,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
144,27,15,Climbing Rope,2025-08-16,4,The  build  quality  is  impressive.,0.999881386756897,Positive,,0.4293,Customer satisfied.
145,27,10,Golf Clubs,2024-03-05,3,"The    product  is  okay,  but  the  instructions  were  unclear.",-0.9967684745788574,Mixed Negative,quality,0.2548,quality
146,5,13,Swim Goggles,2025-01-09,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
147,100,20,Boxing Gloves,2025-01-25,2,"Average  experience,  nothing  special.",-0.9992826581001282,Negative,support,0.2637,support
148,17,18,Volleyball,2024-11-05,1,"Average  experience,  nothing  special.",-0.9992826581001282,Negative,support,0.2637,support
149,50,3,Yoga Mat,2023-12-20,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
150,4,15,Climbing Rope,2024-06-18,5,"I  love  this  product,  will  buy    again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
151,21,19,Hockey Stick,2023-10-30,3,"Average quality, delivery was slightly delayed.",-0.998961329460144,Mixed Negative,support,0.2442,support
152,32,16,Kayak,2025-12-15,3,"Good  quality,  but    could  be  cheaper.",0.955940008163452,Mixed Positive,,0.3168,Improvement suggestions
153,95,11,Ski Boots,2023-11-06,5,Amazing  value  for  the  price.,0.9998892545700072,Positive,,0.3689,Customer satisfied.
154,3,12,Ice Skates,2023-12-19,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
155,89,3,Yoga Mat,2025-12-10,4,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
156,5,7,Basketball,2025-01-26,5,The  build  quality  is  impressive.,0.999881386756897,Positive,,0.4293,Customer satisfied.
157,10,17,Surfboard,2025-10-14,2,The  product  arrived  late.,-0.998403251171112,Negative,delivery,0.2442,delivery
158,37,2,Fitness Tracker,2024-04-16,5,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
159,23,12,Ice Skates,2023-09-01,5,"I  love  this  product,    will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
160,71,9,Baseball Glove,2024-01-02,2,"Average product, works fine but feels slightly overpriced.",-0.9987505674362184,Negative,quality,0.4239,quality
161,9,18,Volleyball,2025-08-05,2,The  product  arrived    late.,-0.998403251171112,Negative,delivery,0.2442,delivery
162,64,20,Boxing Gloves,2023-07-25,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
163,89,7,Basketball,2023-05-27,5,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
164,25,19,Hockey Stick,2024-03-16,2,Product  did  not    meet  my  expectations.,-0.9997606873512268,Negative,quality,0.2876,quality
165,97,3,Yoga Mat,2025-06-03,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
166,87,3,Yoga Mat,2023-11-01,3,"Good    quality,  but  could  be  cheaper.",0.955940008163452,Mixed Positive,,0.3168,Improvement suggestions
167,28,16,Kayak,2023-08-02,2,Product  did  not  meet    my  expectations.,-0.9997606873512268,Negative,quality,0.2876,quality
168,72,2,Fitness Tracker,2025-12-13,3,Customer  support  was  very  helpful.,0.9991816878318788,Mixed Positive,,0.3455,Improvement suggestions
169,26,8,Football Helmet,2025-09-28,5,Five  stars  for  the  quick    delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
170,53,13,Swim Goggles,2024-06-23,5,The  build  quality  is  impressive.,0.999881386756897,Positive,,0.4293,Customer satisfied.
171,2,16,Kayak,2024-02-16,3,"Usable for beginners, though the overall quality does not justify the price.",0.9775550365447998,Mixed Positive,,0.4026,Improvement suggestions
172,79,2,Fitness Tracker,2024-11-23,3,"Average product, works fine but feels slightly overpriced.",-0.9987505674362184,Mixed Negative,quality,0.4239,quality
173,15,16,Kayak,2025-05-30,5,Customer  support  was  very  helpful.,0.9991816878318788,Positive,,0.3455,Customer satisfied.
174,91,8,Football Helmet,2024-06-23,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
175,3,6,Tennis Racket,2024-11-02,3,"Average quality, delivery was slightly delayed.",-0.998961329460144,Mixed Negative,support,0.2442,support
176,21,11,Ski Boots,2023-11-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.9967684745788574,Mixed Negative,quality,0.2548,quality
177,93,19,Hockey Stick,2025-07-03,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
178,17,20,Boxing Gloves,2025-05-25,4,The  quality  is    top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
179,46,20,Boxing Gloves,2025-11-26,4,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
180,77,5,Soccer Ball,2023-03-08,4,"Great  purchase,    very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
181,4,3,Yoga Mat,2024-08-09,4,The  build  quality  is  impressive.,0.999881386756897,Positive,,0.4293,Customer satisfied.
182,21,11,Ski Boots,2024-03-08,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
183,13,5,Soccer Ball,2025-06-08,4,"Great  purchase,  very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
184,59,5,Soccer Ball,2024-12-29,4,Packaging was adequate and delivery was timely.,0.9997827410697936,Positive,,0.3048,Customer satisfied.
185,8,6,Tennis Racket,2023-11-13,2,Product  did  not  meet  my  expectations.,-0.9997606873512268,Negative,quality,0.2876,quality
186,22,13,Swim Goggles,2023-02-17,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
187,58,18,Volleyball,2025-05-01,4,The  quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
188,70,5,Soccer Ball,2025-09-19,5,Exceeded  my  expectations!,0.9995620846748352,Positive,,0.226,Customer satisfied.
189,83,7,Basketball,2025-03-13,2,The  product    arrived  late.,-0.998403251171112,Negative,delivery,0.2442,delivery
190,83,3,Yoga Mat,2023-08-10,3,"Average quality, delivery was slightly delayed.",-0.998961329460144,Mixed Negative,support,0.2442,support
191,68,3,Yoga Mat,2024-09-05,4,"Great  purchase,    very  satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
192,42,17,Surfboard,2023-08-04,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive,,0.2978,Customer satisfied.
193,84,20,Boxing Gloves,2024-06-21,3,"The  product  is  okay,  but  the  instructions  were    unclear.",-0.9967684745788574,Mixed Negative,quality,0.2548,quality
194,7,7,Basketball,2025-05-19,1,The  product  arrived  late.,-0.998403251171112,Negative,delivery,0.2442,delivery
195,75,5,Soccer Ball,2023-10-25,5,Amazing  value  for  the  price.,0.9998892545700072,Positive,,0.3689,Customer satisfied.
196,91,2,Fitness Tracker,2023-10-29,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
197,51,15,Climbing Rope,2024-11-27,4,"I  love  this  product,    will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
198,57,8,Football Helmet,2023-08-27,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive,,0.2803,Customer satisfied.
199,6,13,Swim Goggles,2024-08-20,5,The    quality  is  top-notch.,0.9998470544815063,Positive,,0.3895,Customer satisfied.
200,30,17,Surfboard,2025-01-09,3,Very durable and performs well for daily use.,0.9998507499694824,Mixed Positive,,0.4388,Improvement suggestions
201,59,6,Tennis Racket,2023-05-23,2,"Build quality is okay, however durability could definitely be better.",0.9826349020004272,Mixed Negative,quality,0.507,quality
202,33,9,Baseball Glove,2023-09-06,5,Amazing  value  for  the  price.,0.9998892545700072,Positive,,0.3689,Customer satisfied.
203,66,18,Volleyball,2023-11-22,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative,support,0.2637,support
204,95,14,Cycling Helmet,2024-11-29,4,"Great  purchase,  very    satisfied.",0.9998626708984376,Positive,,0.2698,Customer satisfied.
205,88,12,Ice Skates,2023-04-06,5,Amazing  value  for  the  price.,0.9998892545700072,Positive,,0.3689,Customer satisfied.
206,72,14,Cycling Helmet,2023-08-22,4,The product reached without any damage.,0.9913528561592102,Positive,,0.2376,Customer satisfied.
207,95,18,Volleyball,2025-06-07,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive,,0.2354,Customer satisfied.
